objectid,title,creator,description,date,subject,location,recipe type,cook time,rights,filesize,filename,format,filedate
fr-001,Pie Crust,"Lucie, Jennifer",Homemade pie crust recipe created by Jennifer Lucie,2010,dessert,"Basco, Illinois",dessert,,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",3.9MB,fr-0001.jpeg,image/jpeg,2025-04-14
fr-002,Lida's Doghnuts,"Burford, Barb",5th generation doughnut recipe passed down through Barb Burford's lineage,1880,doughnuts; breakfasts,"LeHarpe, Illinois",breakfast,,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",.037MB,fr-0002.jpeg,image/jpeg,2025-04-14
fr-003,Overnite Rolls,"Lucie, Barb",Roll recipe designed to be started in the evening then baked and finished the next morning,1960,cooking (bread),"Basco, Illinois",bread,0:15:00-0:25:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4.1MB,fr-0003.jpeg,image/jpeg,2025-04-14
fr-004,Perky Potatoes,"Burford, Barb",Recipe for a cheesy potatoe casserole created by Barb Burford,1980,frozen potatoes; casserole cooking,"LeHarpe, Illinois",casserole,0:45:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4.2MB,"fr-0004,jpeg",image/jpeg,2025-04-14
fr-005,Hot Dog Dish,"Burford, Barb",Casserole recipe created by Barb Burford for an affordable meal option,1976,casserole cooking; cooking (frankfurters),"LeHarpe, Illinois",casserole,0:30:00-0:35:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4.2MB,fr-0005.jpeg,image/jpeg,2025-04-14
fr-006,Peanut Butter Fudge,"Burford, Barb",Family-favorite fudge recipe created by Barb Burford,1960,dessert; fudge,"LeHarpe, Illinois",dessert,,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",1.6MB,fr-0006.jpeg,image/jpeg,2025-04-14
fr-007,Refrigerator Cookies,"Anderson, Alta",Cookie recipe passed down through the Lucie family,1920,dessert; cookie,"Havana, Illinois",dessert,0:12:00-0:15:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",2.6MB,fr-0007.jpeg,image/jpeg,2025-04-14
fr-008,Never-Fail Pie Crust,"Lucie, Nancy",Homemade pie crust created by Nancy Lucie,1925,dessert,"Basco, Illinois",dessert,,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",1.7MB,fr-0008.jpeg,image/jpeg,2025-04-14
fr-009,Pecan Pie,"Lucie, Jennifer",Pecan pie filling created by Jennifer Lucie,2010,dessert; pecan,"Basco, Illinois",dessert,0:50:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4MB,fr-0009.jpeg,image/jpeg,2025-04-14
fr-0010,Chex Party Mix,"Lucie, Barb",Snack mix recipe created by Barb Lucie for parties and family gatherings,1970,snack foods,"Basco, Illinois",snack,1:00:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",2.9MB,fr-0010.jpeg,image/jpeg,2025-04-14
fr-0011,Apple Crisp,"Burford, Barb",Apple crisp recipe created by Barb Burford,1970,dessert; apple products,"LeHarpe, Illinois",dessert,0:30:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",3.9MB,fr-0011.jpeg,image/jpeg,2025-04-14
fr-0012,Pumpkin Crunch Cake,"Burford, Barb",Pumpkin cake recipe created by Barb Burford ,1970,dessert; pumpkin; cake,"LeHarpe, Illinois",dessert,1:00:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4.4MB,fr-0012.jpeg,image/jpeg,2025-04-14
fr-0013,Ham and Cheese Quiche,"Lucie, Jennifer",Quiche recipe created by Jennifer Lucie,2012,breakfast; quiches (cooking),"Basco, Illinois",breakfast,0:25:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",3.8MB,fr-0013.jpeg,image/jpeg,2025-04-14
fr-0014,Refrigerator Pickles,"Burford, Barb",Overnight pickle recipe created by Barb Burford,1965,pickled foods,"LeHarpe, Illinois",vegetables,24:00:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4MB,fr-0014.jpeg,image/jpeg,2025-04-14
fr-0015,Family Reunion Rolls,"Lucie, Lorraine",Roll recipe created by Lorraine Lucie then passed down to her daughter-in-law then her daughter-in-law after,1920,cooking (bread),"Basco, Illinois",bread,0:15:00-0:20:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",3.7MB,fr-0015.jpeg,image/jpeg,2025-04-14
fr-0016,22 Minute Cake,"Burford, Barb",Cake recipe created by Barb Burford,1960,cake,"LeHarpe, Illinois",dessert,0:20:00,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Emily Lucie.",4.1MB,fr-0016.jpeg,image/jpeg,2025-04-14
